movieId,title,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5
4874.0,K-PAX (2001),suprisingly clever,predictable,social commentary,oscar (best actress),transformation
7163.0,Paycheck (2003),predictable,plot,suprisingly clever,great movie,action
4889.0,Heist (2001),predictable,suprisingly clever,social commentary,oscar (best actress),culture clash
33493.0,Star Wars: Episode III - Revenge of the Sith (2005),predictable,social commentary,plot,suprisingly clever,great movie
1380.0,Grease (1978),predictable,suprisingly clever,social commentary,oscar (best actress),light
1610.0,"Hunt for Red October, The (1990)",suprisingly clever,predictable,social commentary,culture clash,great
47610.0,"Illusionist, The (2006)",suprisingly clever,oscar (best actress),culture clash,social commentary,predictable
62265.0,"Accidental Husband, The (2009)",predictable,suprisingly clever,plot,adaptation,transformation
61697.0,Righteous Kill (2008),predictable,plot,social commentary,suprisingly clever,great movie
800.0,Lone Star (1996),oscar (best actress),suprisingly clever,social commentary,criterion,talky
